codigo_comuna,id_cuarentena,semana,activos_x10mil,nuevos_x10mil,activos_comienzo,comuna,capital_regional,capital_provincial,aeropuerto,puerto,poblacion_edad_15_a_64,poblacion_edad_0_a_4,poblacion_edad_5_a_9,poblacion_edad_10_a_15,poblacion_edad_15_a_19,poblacion_edad_20_a_24,poblacion_edad_25_a_29,poblacion_edad_30_a_34,poblacion_edad_35_a_39,poblacion_edad_40_a_44,poblacion_edad_45_a_49,poblacion_edad_50_a_54,poblacion_edad_55_a_59,poblacion_edad_60_a_64,poblacion_edad_65_a_69,poblacion_edad_70_a_74,poblacion_edad_75_a_79,poblacion_edad_80_y_mas,densidad_poblacional,hacinamiento,inmigrantes,idse,ips,indice_ruralidad
9201,1,1,7.046273502443897,1.9622533804274143,5.619180134860324,Angol,0,1,0,0,34843,3001,3898,3719,3626,3392,4084,3733,3504,3541,3548,3614,3287,2741,2089,1697,1326,1498,46.82,2.74,141,539.0,,42.14
9201,1,2,4.1920867672767494,1.7838667094794678,5.619180134860324,Angol,0,1,0,0,34843,3001,3898,3719,3626,3392,4084,3733,3504,3541,3548,3614,3287,2741,2089,1697,1326,1498,46.82,2.74,141,539.0,,42.14
2101,1,1,16.78313465265136,18.580069293558047,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,2,19.601855657995188,21.398790298901876,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,3,23.395384344353747,17.828410358799694,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,4,24.01785189970051,13.670796875917553,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,5,18.56832462270245,13.482882142227965,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,6,15.690880263080626,15.784837629925422,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,7,16.935815373774147,14.751306594632686,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,8,20.095131833930353,12.331904398379235,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,9,16.689177285806565,10.264842327793763,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,10,14.328498443831112,10.00645956897058,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,11,12.519819132068822,8.22126959891949,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,12,11.662458159610077,6.741441071113982,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,13,10.159140290093369,5.355569910153268,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,1,14,7.692759410417523,5.566973985554054,11.2866286922309,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,2,1,5.144165834752481,7.328674613893946,3.5116565858241824,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,2,2,6.201186211756416,7.3521639556051435,3.5116565858241824,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
2101,2,3,7.25820658876035,7.117270538493158,3.5116565858241824,Antofagasta,1,0,1,1,255964,20067,26604,24419,27230,33083,34132,29632,27643,26827,23376,21378,18923,14854,10224,7291,4968,5301,13.87,3.22,36000,714.0,,38.59
15101,1,1,3.272039813857291,2.1813598759048602,,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,1,2,2.9286776111685624,2.7872931747673215,,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
