"","effect","term","estimate","std.error","statistic","p.value"
"1","fixed","(Intercept)",0.47405984325315,0.0377440212364347,12.5598658469261,3.50927263082141e-36
"2","fixed","capital_regional",-0.012356706657411,0.00932686379781961,-1.32485119599363,0.185220510543327
"3","fixed","capital_provincial",-0.00913508954798176,0.00534074237905395,-1.71045313546839,0.0871821124811094
"4","fixed","pob_20_a_64",0.00408487710270081,0.00816503319665079,0.500289099176765,0.616871528574347
"5","fixed","inmigrantes",-0.0436776747878087,0.0863815331943408,-0.505636716235898,0.613111701497471
"6","fixed","aeropuerto",-0.0152651415726846,0.0152513542905767,-1.00090400379174,0.316873220701982
"7","fixed","puerto",-0.012654576884843,0.0132247590490464,-0.956885251210342,0.33862517625786
"8","fixed","idse",0.0574871564913628,0.0250444725858295,2.29540295944942,0.0217100419134534
"9","fixed","indice_ruralidad",0.11701605769423,0.017016074771023,6.87679498761368,6.12141046020989e-12
"10","fixed","bs1",0.891152156975968,0.0436274903810013,20.4263905439778,9.74443863747837e-93
"11","fixed","bs2",0.0488742238816335,0.0268864346234438,1.81780234404964,0.0690943482541832
"12","fixed","bs3",0.789171392076599,0.0350392164908071,22.5225182270741,2.4976444336152e-112
"13","fixed","bs4",0.472968577032787,0.0307198772611944,15.3961740475521,1.73643961698943e-53
"14","fixed","bs5",0.590303098310752,0.0331932203496439,17.7838453784459,9.42856823705326e-71
"15","fixed","bs6",0.488081473580827,0.0318093207332337,15.3439766184912,3.88639938701844e-53
"16","fixed","bs7",0.38068043787143,0.0326137030379019,11.6724076817963,1.76360246959832e-31
"17","fixed","bs8",0.478817914059548,0.0326128347224082,14.6818857708972,8.42153671882707e-49
"18","fixed","bs9",0.329515874740965,0.0333970378455727,9.86661979618193,5.80891899580111e-23
"19","fixed","bs10",0.513417977753388,0.0338764235082805,15.1556133907669,6.95629237361353e-52
"20","fixed","bs11",0.915573250388044,0.0348537665451695,26.2689901592555,4.33788841789326e-152
"21","fixed","bs12",0.824363858324164,0.0333944192409466,24.6856773395648,1.52412536552966e-134
"22","fixed","paso_lag12",-0.0727728278481669,0.00388672856917661,-18.7234139335806,3.19032868582477e-78
"23","fixed","paso_lag13",-0.158681913496052,0.00440240175090553,-36.0443963260311,1.68809751479799e-284
"24","fixed","paso_lag14",-0.220677177928987,0.00544247393518596,-40.5472181506087,0
"25","fixed","pp_vecinos_cuarentena_lag1",0.0416525809356228,0.00410300122178462,10.1517349579306,3.25524149431444e-24
"26","fixed","pcr_lag2",1.00217062580424,0.338147204337271,2.96371110850488,0.0030395349240799
