"","grp","var1","var2","vcov","sdcor"
"1","comuna_fct:region_fct","(Intercept)",NA,0.00178725789864578,0.0422759730656289
"2","region_fct","(Intercept)",NA,0.00228158448350967,0.0477659343414286
"3","Residual",NA,NA,0.0102736210482348,0.101358872567895
